"Nome","Ext","Hash","Pasta","Full"
"Prompt - elaborador de provas FGV TRF1 - análise do dossiê da banca.txt",".txt","490C075AEFC84A8C3FB923766AA2982D","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - elaborador de provas FGV TRF1 - análise do dossiê da banca.txt"
"Prompt - garimpar processos de intervenção e cassação 1932-1937 (Era Vargas).txt",".txt","82EFBDD2C2E5BAB67BB9FAC87C45B75F","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - garimpar processos de intervenção e cassação 1932-1937 (Era Vargas).txt"
"Prompt - JSON Gemini - criador de mapa mental jurídico.txt",".txt","9720DB15D033C298DDD13AF7CB4B8DCD","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - JSON Gemini - criador de mapa mental jurídico.txt"
"Prompt - Organizar Ata de julgamento de tribunal.txt",".txt","310C6002CEF2D5C506D3A814C2EB129A","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - Organizar Ata de julgamento de tribunal.txt"
"Prompt - Prova discursiva para magistratura federal.txt",".txt","427D827729307AEAE9DC755306FCB034","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - Prova discursiva para magistratura federal.txt"
"Prompt - Reformatação de anotações de aula em conteúdo acadêmico.txt",".txt","DF79A9BFB2F2FBA23789B17D3FED3212","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - Reformatação de anotações de aula em conteúdo acadêmico.txt"
"Prompt - Revise sua sentença anterior (completude e temas pendentes).txt",".txt","47288042A7FAD51EC8C01DC0F20A366E","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - Revise sua sentença anterior (completude e temas pendentes).txt"
"Prompt - seleção de dispositivos legais a partir de URLs - concurso MPF.txt",".txt","48F22770366B63D7C1D4650BF9F86F78","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - seleção de dispositivos legais a partir de URLs - concurso MPF.txt"
"Prompt - seleção de dispositivos legais em PDFs para concurso MPF.txt",".txt","776E093C50C003A132EB74C9E209B1E5","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - seleção de dispositivos legais em PDFs para concurso MPF.txt"
"Prompt de Tabelas - Recursos Especiais repetitivos.txt",".txt","090C70ECE1529CBE6F2569D4DFF94A40","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt de Tabelas - Recursos Especiais repetitivos.txt"
"Prompt de tabelas de jurisprudência (2).txt",".txt","924C1B2B065D4DD2A3EB71D84409CAAD","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt de tabelas de jurisprudência (2).txt"
"Prompt expandir ponto do edital - persona Procurador da República - MPF.txt",".txt","6E12253844B159D725FBB66A56868C74","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt expandir ponto do edital - persona Procurador da República - MPF.txt"
"Prompt JSON Gemini - Criador de mapa mental jurídico.txt",".txt","A054FB00A83A4D2E3855C15608DE3DE7","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt JSON Gemini - Criador de mapa mental jurídico.txt"
"Prompt JurisConsultor IA (Comentador) - concursos jurídicos.txt",".txt","112E996E3F6236636F7F78EAAE5627F7","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt JurisConsultor IA (Comentador) - concursos jurídicos.txt"
"Prompt YouTube - análise técnica de aula em vídeo (juiz federal).txt",".txt","2700ACF04558F072DE035A3C15D47B43","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt YouTube - análise técnica de aula em vídeo (juiz federal).txt"
"Prompts - tabelas didáticas de legislação para concursos.txt",".txt","C5C30A81E2DF3D8676A9A339D34E90B6","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompts - tabelas didáticas de legislação para concursos.txt"
"Prompt - recurso de nota em prova de sentença criminal - TRF1.txt",".txt","4C8FB77F83A2E12A027044ECD5B404D4","06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF1\Prompt - recurso de nota em prova de sentença criminal - TRF1.txt"
"Prompt - tabela de questões objetivas TRF6.txt",".txt","A26DFA55DE69059A14AF302D473608A9","06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Prompt - tabela de questões objetivas TRF6.txt"
"Prompt - Elaboração de sentença penal (árvore e modelo criminal).txt",".txt","C728709F874BEAF63251C4A50EDC3351","06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Provas de Sentença","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\Provas de Sentença\Prompt - Elaboração de sentença penal (árvore e modelo criminal).txt"
"Prompt - recurso para discursiva da magistratura federal (TRF6).docx",".docx","052A14AEA2E3BAD0A40A83EBB9521AFC","06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\RECURSOS DISCURSIVAS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\TRF6\RECURSOS DISCURSIVAS\Prompt - recurso para discursiva da magistratura federal (TRF6).docx"
"Prompt - assistente para registro de atas de julgamento (Grupo TSE).txt",".txt","B5E255A4FEFDA9443E178D1AE25DB172","06 - Estudos, concursos e leitura\TESE\GRUPO TSE\Abordagem histórica","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\TESE\GRUPO TSE\Abordagem histórica\Prompt - assistente para registro de atas de julgamento (Grupo TSE).txt"
"Prompt - relatório de inteligência jurídica eleitoral 2026 (Notion @DJe).docx",".docx","7CD4E32A4CF6B3FE2C95D902B5D2E680","10 - Tecnologia e dispositivos","C:\Users\mauri\OneDrive\Documentos\10 - Tecnologia e dispositivos\Prompt - relatório de inteligência jurídica eleitoral 2026 (Notion @DJe).docx"
"Prompt - explicação de DVS (destaque de votação em separado).rtf",".rtf","8DBFA49651561939075A9A0AB3658C4E","12 - Consultoria Legislativa\SESSÕES PLENÁRIAS","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\SESSÕES PLENÁRIAS\Prompt - explicação de DVS (destaque de votação em separado).rtf"
"Prompt explicação destaque emenda CONLE.rtf",".rtf","0EBC1BCF224DA2C82A4BE0034D799F0D","12 - Consultoria Legislativa\SESSÕES PLENÁRIAS","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\SESSÕES PLENÁRIAS\Prompt explicação destaque emenda CONLE.rtf"
"Prompt Parecer Emendas de Plenário - APROVA.rtf",".rtf","E93D2E842CEFA99303B72CBA75661A0E","12 - Consultoria Legislativa\SESSÕES PLENÁRIAS","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\SESSÕES PLENÁRIAS\Prompt Parecer Emendas de Plenário - APROVA.rtf"
"Prompt Parecer Emendas de Plenário REJEITA - CONLE.rtf",".rtf","C5B0282545255369E7957F5CD8C9D01F","12 - Consultoria Legislativa\SESSÕES PLENÁRIAS","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\SESSÕES PLENÁRIAS\Prompt Parecer Emendas de Plenário REJEITA - CONLE.rtf"
"Prompt - Explicação de DVS (Destaque para Votação em Separado) - CONLE.rtf",".rtf","8DBFA49651561939075A9A0AB3658C4E","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Explicação de DVS (Destaque para Votação em Separado) - CONLE.rtf"
"Prompt - justificativa de proposição (Conle).rtf",".rtf","F5A3074D1CE3D1F862F2B43393F910D5","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - justificativa de proposição (Conle).rtf"
"Prompt - Parecer CCJC sobre admissibilidade de PEC.rtf",".rtf","583C507C361598F9B373FBFD6BFAB6DB","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer CCJC sobre admissibilidade de PEC.rtf"
"Prompt - Parecer de constitucionalidade - Conle.rtf",".rtf","55B9DA23A8CC9EF145B0B5902A03021A","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer de constitucionalidade - Conle.rtf"
"Prompt - Parecer de Plenário a PDL de sustação - CONLE.rtf",".rtf","D2396B06099E4C426D66D2B7458C2712","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer de Plenário a PDL de sustação - CONLE.rtf"
"Prompt - Parecer de Plenário datas comemorativas (CONLE).rtf",".rtf","6B7D9AFEF3C8708FF4C827E25AE6B472","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer de Plenário datas comemorativas (CONLE).rtf"
"Prompt - Parecer de Plenário PRC - Conle.rtf",".rtf","140D1BA0ADA3CC8D19E8CF252E342D97","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer de Plenário PRC - Conle.rtf"
"Prompt - Parecer de projeto na CCJC (mérito) - Conle.rtf",".rtf","5BB14F56088EFF0974E63DE4401966F7","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt - Parecer de projeto na CCJC (mérito) - Conle.rtf"
"Prompt Conle - explicação de Destaque de Emenda.rtf",".rtf","0EBC1BCF224DA2C82A4BE0034D799F0D","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Conle - explicação de Destaque de Emenda.rtf"
"Prompt Conle - PEC 27-2024 Igualdade Racial (FNREPIR) - emenda de redação.docx",".docx","1F0C5B639B0744890B930D3BB599B741","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Conle - PEC 27-2024 Igualdade Racial (FNREPIR) - emenda de redação.docx"
"Prompt Informação Técnica (Conle).rtf",".rtf","ABCD98DEA06779F7EA4B25D81B0E64B8","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Informação Técnica (Conle).rtf"
"Prompt para explicação de Emenda parlamentar.rtf",".rtf","3CF982C84594D6DF301F52181FB7D19F","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt para explicação de Emenda parlamentar.rtf"
"Prompt Parecer CCJC - datas comemorativas (Conle).rtf",".rtf","D4871D7B8210D2BC02A4400A64CC9DD1","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Parecer CCJC - datas comemorativas (Conle).rtf"
"Prompt Parecer Emendas de Plenário que aprova.rtf",".rtf","E93D2E842CEFA99303B72CBA75661A0E","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Parecer Emendas de Plenário que aprova.rtf"
"Prompt Parecer Emendas de Plenário REJEITA.rtf",".rtf","C5B0282545255369E7957F5CD8C9D01F","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Parecer Emendas de Plenário REJEITA.rtf"
"Prompt Parecer PRC Regimento mérito.rtf",".rtf","43D5B6025512F5364B066AE74843E3F7","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt Parecer PRC Regimento mérito.rtf"
"Prompt parecer projeto CCJC art. 54 - CONLE.rtf",".rtf","524B9A619D94B1A581E805AC89FF8D07","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt parecer projeto CCJC art. 54 - CONLE.rtf"
"Prompt relatório de Parecer (Conle).rtf",".rtf","C8C92F903C3AFED2D088D264F1ED0563","12 - Consultoria Legislativa\STs\PROMPTS da Conle","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\STs\PROMPTS da Conle\Prompt relatório de Parecer (Conle).rtf"
