"ID","Full","Nome"
"16","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Expandir ponto do edital - persona Procurador da República - MPF.txt","Expandir ponto do edital - persona Procurador da República - MPF.txt"
"17","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Explicação de DVS (destaque de votação em separado).rtf","Explicação de DVS (destaque de votação em separado).rtf"
"18","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Explicação de Emenda parlamentar.rtf","Explicação de Emenda parlamentar.rtf"
"19","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Explicação destaque emenda CONLE.rtf","Explicação destaque emenda CONLE.rtf"
"20","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Garimpar processos de intervenção e cassação 1932-1937 (Era Vargas).txt","Garimpar processos de intervenção e cassação 1932-1937 (Era Vargas).txt"
"21","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Gemini - Análise jurídica de sessão do TSE em vídeo.docx","Gemini - Análise jurídica de sessão do TSE em vídeo.docx"
"22","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\IA - seleção de artigos para concurso BNDES (advogado).txt","IA - seleção de artigos para concurso BNDES (advogado).txt"
"23","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\IA DOD - validação da ferramenta - feedback (concursos).pdf","IA DOD - validação da ferramenta - feedback (concursos).pdf"
"24","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Informação Técnica (Conle).rtf","Informação Técnica (Conle).rtf"
"25","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\JSON Gemini - Criador de mapa mental jurídico (2).txt","JSON Gemini - Criador de mapa mental jurídico (2).txt"
"26","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\JSON Gemini - criador de mapa mental jurídico.txt","JSON Gemini - criador de mapa mental jurídico.txt"
"27","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\JurisConsultor IA (Comentador) - concursos jurídicos.txt","JurisConsultor IA (Comentador) - concursos jurídicos.txt"
"28","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Justificativa de proposição (Conle).rtf","Justificativa de proposição (Conle).rtf"
"29","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Lcp95.md","Lcp95.md"
"30","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Organizar Ata de julgamento de tribunal.txt","Organizar Ata de julgamento de tribunal.txt"
"31","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer CCJC - datas comemorativas (Conle).rtf","Parecer CCJC - datas comemorativas (Conle).rtf"
"32","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer CCJC sobre admissibilidade de PEC.rtf","Parecer CCJC sobre admissibilidade de PEC.rtf"
"33","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer de constitucionalidade - Conle.rtf","Parecer de constitucionalidade - Conle.rtf"
"34","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer de Plenário a PDL de sustação - CONLE.rtf","Parecer de Plenário a PDL de sustação - CONLE.rtf"
"35","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer de Plenário datas comemorativas (CONLE).rtf","Parecer de Plenário datas comemorativas (CONLE).rtf"
"36","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer de Plenário PRC - Conle.rtf","Parecer de Plenário PRC - Conle.rtf"
"37","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer de projeto na CCJC (mérito) - Conle.rtf","Parecer de projeto na CCJC (mérito) - Conle.rtf"
"38","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer Emendas de Plenário - APROVA.rtf","Parecer Emendas de Plenário - APROVA.rtf"
"39","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer Emendas de Plenário REJEITA - CONLE.rtf","Parecer Emendas de Plenário REJEITA - CONLE.rtf"
"40","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer PRC Regimento mérito.rtf","Parecer PRC Regimento mérito.rtf"
"41","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Parecer projeto CCJC art. 54 - CONLE.rtf","Parecer projeto CCJC art. 54 - CONLE.rtf"
"42","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Perplexity - legislação e julgados.txt","Perplexity - legislação e julgados.txt"
"43","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Pesquisa jurídica - Informativos jurisprudenciais.txt","Pesquisa jurídica - Informativos jurisprudenciais.txt"
"44","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt - explicação de Destaque de Emenda (CONLE).rtf","Prompt - explicação de Destaque de Emenda (CONLE).rtf"
"45","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt - Explicação de DVS (Destaque para Votação em Separado) - CONLE.rtf","Prompt - Explicação de DVS (Destaque para Votação em Separado) - CONLE.rtf"
"46","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt - explicação de Emenda - Conle.rtf","Prompt - explicação de Emenda - Conle.rtf"
"47","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt - parecer de constitucionalidade (CONLE).rtf","Prompt - parecer de constitucionalidade (CONLE).rtf"
"48","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt - Parecer de Plenário a PDL de sustação.rtf","Prompt - Parecer de Plenário a PDL de sustação.rtf"
"49","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt - Parecer de Plenário PRC (CONLE).rtf","Prompt - Parecer de Plenário PRC (CONLE).rtf"
"50","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt - parecer projeto CCJC art. 54.rtf","Prompt - parecer projeto CCJC art. 54.rtf"
"51","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt CONLE - informação técnica (INF TEC).rtf","Prompt CONLE - informação técnica (INF TEC).rtf"
"52","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt Conle - Parecer admissibilidade art. 54 CCJC.docx","Prompt Conle - Parecer admissibilidade art. 54 CCJC.docx"
"53","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt Conle - Parecer Emendas de Plenário (rejeita).rtf","Prompt Conle - Parecer Emendas de Plenário (rejeita).rtf"
"54","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt CONLE - parecer PRC sobre Regimento (mérito).rtf","Prompt CONLE - parecer PRC sobre Regimento (mérito).rtf"
"55","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt Consultor Legislativo - elaboração de Projeto de Lei (Conle).docx","Prompt Consultor Legislativo - elaboração de Projeto de Lei (Conle).docx"
"56","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt justificativa de proposição - CONLE.rtf","Prompt justificativa de proposição - CONLE.rtf"
"57","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt Parecer CCJC - admissibilidade de PEC.rtf","Prompt Parecer CCJC - admissibilidade de PEC.rtf"
"58","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt Parecer CCJC sobre datas comemorativas.rtf","Prompt Parecer CCJC sobre datas comemorativas.rtf"
"59","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt Parecer de Plenário - Datas comemorativas.rtf","Prompt Parecer de Plenário - Datas comemorativas.rtf"
"60","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt Parecer Emendas de Plenário - aprova (Conle).rtf","Prompt Parecer Emendas de Plenário - aprova (Conle).rtf"
"61","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt Parecer projeto CCJC mérito.rtf","Prompt Parecer projeto CCJC mérito.rtf"
"62","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prompt relatório Parecer - CONLE.rtf","Prompt relatório Parecer - CONLE.rtf"
"63","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Prova discursiva para magistratura federal.txt","Prova discursiva para magistratura federal.txt"
"64","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Recurso de nota em prova de sentença criminal - TRF1.txt","Recurso de nota em prova de sentença criminal - TRF1.txt"
"65","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Recurso de prova de títulos (pós-graduação) - CD TÍTULOS.docx","Recurso de prova de títulos (pós-graduação) - CD TÍTULOS.docx"
"66","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Recurso para discursiva da magistratura federal (TRF6).docx","Recurso para discursiva da magistratura federal (TRF6).docx"
"67","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Reformatação de anotações de aula em conteúdo acadêmico.txt","Reformatação de anotações de aula em conteúdo acadêmico.txt"
"68","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Relatório de atividades em regime híbrido TSE 2022-2024 (Portaria 490 2022).docx","Relatório de atividades em regime híbrido TSE 2022-2024 (Portaria 490 2022).docx"
"69","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Relatório de inteligência jurídica eleitoral 2026 (Notion @DJe).docx","Relatório de inteligência jurídica eleitoral 2026 (Notion @DJe).docx"
"70","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Relatório de Parecer (Conle).rtf","Relatório de Parecer (Conle).rtf"
"71","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Revise sua sentença anterior (completude e temas pendentes).txt","Revise sua sentença anterior (completude e temas pendentes).txt"
"72","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Seleção de dispositivos legais a partir de URLs - concurso MPF.txt","Seleção de dispositivos legais a partir de URLs - concurso MPF.txt"
"73","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Seleção de dispositivos legais em PDFs para concurso MPF.txt","Seleção de dispositivos legais em PDFs para concurso MPF.txt"
"74","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Tabela de questões objetivas TRF6.txt","Tabela de questões objetivas TRF6.txt"
"75","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Tabelas - Recursos Especiais repetitivos.txt","Tabelas - Recursos Especiais repetitivos.txt"
"76","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Tabelas de jurisprudência (2).txt","Tabelas de jurisprudência (2).txt"
"77","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Tabelas didáticas de legislação para concursos.txt","Tabelas didáticas de legislação para concursos.txt"
"78","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\URLs - prompt assistente concurso MPF e sistematização do Direito.txt","URLs - prompt assistente concurso MPF e sistematização do Direito.txt"
"79","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\YouTube - análise técnica de aula em vídeo (juiz federal).txt","YouTube - análise técnica de aula em vídeo (juiz federal).txt"
